Data:          2021-10-02_13_56_24
Versão:        v4.0.2 / dupla / radar / 300s

Descanso:      9
Quedas:        10 (11-1)

helton:        10956 pontos / 136 golpes / 62.99 km/h
clemerson:     10937 pontos / 133 golpes / 63.87 km/h

Parcial:       21893 pontos
Desequilibrio: 00000 (-)
Quedas:        03284 (-)

FINAL:         18609 pontos

SEQUÊNCIA 01
============

TEMPO   DIR   KMH
-----   ---   ---
316010   ->   058
316527   <-   042
317337   ->   040
317935   <-   046
318557   ->   070
318978   <-   036
319836   ->   075
320135   <-   052
320728   ->   050
322970   <-   038
323713   ->   071
324103   <-   045
324780   ->   077
325169   <-   045
325848   ->   078
326236   <-   049
326873   ->   075


SEQUÊNCIA 10
============

TEMPO   DIR   KMH
-----   ---   ---


SEQUÊNCIA 11
============

TEMPO   DIR   KMH
-----   ---   ---
376196   ->   054
376705   <-   065
377217   ->   050
377795   <-   061
378221   ->   044
378864   <-   062
379253   ->   050
379774   <-   063
380310   ->   048
380826   <-   069
381245   ->   045
381802   <-   067
382363   ->   050
382912   <-   062
383403   ->   046
383964   <-   055
384472   ->   040
386067   ->   038
386800   <-   046
387524   ->   052
388037   <-   063
388418   ->   047
389018   <-   055
389549   ->   047
390147   <-   062
390572   ->   048
391126   <-   070
391725   ->   045
392173   <-   071
392513   ->   053
393093   <-   064
393601   ->   048
394114   <-   073
394580   ->   041
396035   ->   039
396761   <-   072
397183   ->   046
397741   <-   067
398167   ->   051
398677   <-   040
399429   ->   045
399981   <-   046
400666   ->   066
401069   <-   045
401706   ->   074
402158   <-   049
402751   ->   064
403175   <-   051
403881   ->   072
404272   <-   051
404870   ->   071
405337   <-   041
405997   ->   073
406426   <-   047
407147   ->   069
407577   <-   039
408303   ->   044
408858   <-   073
409325   ->   046
409945   <-   041
410689   ->   067
411116   <-   046
411799   ->   069
412208   <-   035
413098   ->   050
413658   <-   071
414133   ->   035
414849   <-   069
415275   ->   035
416086   <-   044
416770   ->   044
417325   <-   041
418096   ->   044
